ID_Alumno,Nombre_Apellido,Edad,Genero,Comision,Turno,Entregas_Previas,Entregas_A_Tiempo,Total_Actividades_Previas,Promedio_Previo,Indice_Constancia,Nota_Parcial,Estado_Final,Nota Final,Estado,Comisión
A00229,Tomas Aguirre,26,F,A2,Mañana,4,4,7,7.425,57.14,,Ausente,,Ausente,A2
A00230,Paula Ruiz,17,M,C4,Noche,6,4,7,6.516666666666667,57.14,7.8,Aprobado,7.8,Aprobado,C4
A00231,Valentino Cabrera,18,M,B2,Tarde,7,7,7,6.314285714285715,100.0,,Ausente,,Ausente,B2
A00232,Catalina Ortiz,18,M,C1,Noche,5,4,7,6.24,57.14,,Ausente,,Ausente,C1
A00233,Lucia Luna,19,F,C4,Noche,5,4,7,6.959999999999999,57.14,6.1,Aprobado,6.1,Aprobado,C4
A00234,Antonella Castro,22,M,C4,Noche,6,5,7,7.583333333333333,71.43,7.6,Aprobado,7.6,Aprobado,C4
A00235,Lucia Silva,17,M,C1,Noche,2,2,7,6.85,28.57,,Ausente,,Ausente,C1
A00236,Valentino Silva,17,F,C2,Noche,3,0,7,5.133333333333334,0.0,,Ausente,,Ausente,C2
A00237,Isabella Torres,21,M,A1,Mañana,6,5,7,7.25,71.43,7.6,Aprobado,7.6,Aprobado,A1
A00238,Olivia Castro,17,F,C2,Noche,1,0,7,6.1,0.0,,Ausente,,Ausente,C2
A00239,Gabriel Sosa,25,F,A1,Mañana,5,4,7,5.18,57.14,6.2,Aprobado,6.2,Aprobado,A1
A00240,Felipe Silva,23,F,C2,Noche,7,7,7,8.357142857142858,100.0,7.1,Aprobado,7.1,Aprobado,C2
A00241,Nicolas Ruiz,17,M,C1,Noche,7,6,7,7.185714285714285,85.71,6.0,Aprobado,6.0,Aprobado,C1
A00242,Mora Ortiz,17,F,B2,Tarde,6,6,7,6.733333333333333,85.71,7.9,Aprobado,7.9,Aprobado,B2
A00243,Ignacio Martinez,17,M,C2,Noche,5,5,7,6.840000000000001,71.43,4.9,Recupera,4.9,Recupera,C2
A00244,Agustin Sanchez,17,M,A2,Mañana,7,6,7,6.857142857142857,85.71,6.8,Aprobado,6.8,Aprobado,A2
A00245,Paula Flores,27,M,A1,Mañana,3,2,7,5.866666666666667,28.57,,Ausente,,Ausente,A1
A00246,Nicolas Benitez,18,F,C3,Noche,3,1,7,5.3999999999999995,14.29,,Ausente,,Ausente,C3
A00247,Joaquin Benitez,25,M,A1,Mañana,6,6,7,6.416666666666667,85.71,8.0,Aprobado,8.0,Aprobado,A1
A00248,Benjamin Garcia,18,F,A1,Mañana,4,3,7,6.85,42.86,8.8,Aprobado,8.8,Aprobado,A1
A00249,Agustin Torres,21,F,C1,Noche,6,6,7,6.883333333333333,85.71,9.0,Aprobado,9.0,Aprobado,C1
A00250,Maximo Torres,20,M,A3,Mañana,4,2,7,4.575,28.57,5.0,Recupera,5.0,Recupera,A3
A00251,Camila Benitez,19,F,C4,Noche,7,6,7,7.871428571428572,85.71,8.2,Aprobado,8.2,Aprobado,C4
A00252,Emma Rojas,29,M,C1,Noche,5,5,7,6.7,71.43,7.8,Aprobado,7.8,Aprobado,C1
A00253,Santino Flores,24,M,A1,Mañana,7,6,7,6.585714285714286,85.71,,Ausente,,Ausente,A1
A00254,Agustin Martinez,27,M,A1,Mañana,5,4,7,7.32,57.14,7.5,Aprobado,7.5,Aprobado,A1
A00255,Bruno Flores,21,M,B1,Tarde,3,2,7,4.7,28.57,,Ausente,,Ausente,B1
A00256,Mora Aguirre,17,M,B2,Tarde,6,5,7,6.75,71.43,8.0,Aprobado,8.0,Aprobado,B2
A00257,Lautaro Torres,23,M,A3,Mañana,5,4,7,6.959999999999999,57.14,5.6,Recupera,5.6,Recupera,A3
A00258,Bruno Sanchez,24,M,A1,Mañana,0,0,7,,0.0,,Ausente,,Ausente,A1
A00259,Agustin Castro,18,M,C3,Noche,6,6,7,6.866666666666667,85.71,9.3,Aprobado,9.3,Aprobado,C3
A00260,Bruno Flores,25,F,A2,Mañana,2,1,7,5.05,14.29,,Ausente,,Ausente,A2
A00261,Thiago Nuñez,18,M,B1,Tarde,7,7,7,7.957142857142857,100.0,9.5,Aprobado,9.5,Aprobado,B1
A00262,Joaquin Aguirre,23,M,C1,Noche,1,0,7,5.3,0.0,,Ausente,,Ausente,C1
A00263,Joaquin Luna,21,M,A3,Mañana,7,7,7,8.028571428571428,100.0,8.6,Aprobado,8.6,Aprobado,A3
A00264,Antonella Molina,17,F,B1,Tarde,1,1,7,5.8,14.29,,Ausente,,Ausente,B1
A00265,Pilar Ruiz,23,F,C4,Noche,7,6,7,7.257142857142857,85.71,7.0,Aprobado,7.0,Aprobado,C4
A00266,Ignacio Silva,17,F,C4,Noche,4,1,7,4.35,14.29,3.9,Desaprobado,3.9,Desaprobado,C4
A00267,Agustin Alvarez,27,M,B2,Tarde,4,3,7,4.85,42.86,,Ausente,,Ausente,B2
A00268,Ignacio Medina,21,F,C1,Noche,1,0,7,6.3,0.0,,Ausente,,Ausente,C1
A00269,Paula Martinez,25,F,A2,Mañana,6,4,7,4.8999999999999995,57.14,,Ausente,,Ausente,A2
A00270,Felipe Rodriguez,23,F,B1,Tarde,5,4,7,3.88,57.14,4.9,Recupera,4.9,Recupera,B1
A00271,Paula Molina,30,M,A3,Mañana,6,5,7,6.266666666666667,71.43,6.6,Aprobado,6.6,Aprobado,A3
A00272,Valentina Sosa,21,M,B2,Tarde,5,5,7,8.120000000000001,71.43,8.6,Aprobado,8.6,Aprobado,B2
A00273,Bautista Gonzalez,17,M,C3,Noche,7,5,7,7.3428571428571425,71.43,8.0,Aprobado,8.0,Aprobado,C3
A00274,Delfina Cabrera,18,M,A2,Mañana,6,4,7,6.316666666666666,57.14,,Ausente,,Ausente,A2
A00275,Lucas Sanchez,20,F,B1,Tarde,7,6,7,5.885714285714286,85.71,,Ausente,,Ausente,B1
A00276,Santino Ortiz,25,F,A3,Mañana,5,4,7,5.9,57.14,,Ausente,,Ausente,A3
A00277,Federico Cabrera,25,M,C3,Noche,2,2,7,4.800000000000001,28.57,,Ausente,,Ausente,C3
A00278,Mateo Alvarez,22,M,A3,Mañana,7,7,7,6.057142857142858,100.0,6.8,Aprobado,6.8,Aprobado,A3
A00279,Ignacio Romero,17,F,B2,Tarde,3,1,7,3.966666666666667,14.29,,Ausente,,Ausente,B2
A00280,Julieta Benitez,29,F,C2,Noche,4,2,7,5.625,28.57,5.4,Recupera,5.4,Recupera,C2
A00281,Victoria Romero,17,F,C2,Noche,7,3,7,6.714285714285714,42.86,,Ausente,,Ausente,C2
A00282,Martina Fernandez,23,M,C2,Noche,7,7,7,6.4,100.0,5.9,Recupera,5.9,Recupera,C2
A00283,Felipe Suarez,23,F,B2,Tarde,5,2,7,4.66,28.57,5.9,Recupera,5.9,Recupera,B2
A00284,Florencia Herrera,20,F,C4,Noche,5,5,7,4.86,71.43,,Ausente,,Ausente,C4
A00285,Olivia Torres,22,F,C1,Noche,5,5,7,7.5200000000000005,71.43,6.6,Aprobado,6.6,Aprobado,C1
A00286,Felipe Suarez,19,M,A3,Mañana,6,4,7,6.966666666666666,57.14,,Ausente,,Ausente,A3
A00287,Federico Medina,20,F,C4,Noche,6,6,7,7.283333333333334,85.71,6.9,Aprobado,6.9,Aprobado,C4
A00288,Lucas Acosta,26,F,B1,Tarde,7,6,7,6.7,85.71,7.7,Aprobado,7.7,Aprobado,B1
A00289,Lucas Alvarez,23,M,A1,Mañana,2,1,7,4.4,14.29,,Ausente,,Ausente,A1
A00290,Julieta Suarez,18,M,A1,Mañana,7,7,7,8.242857142857144,100.0,8.3,Aprobado,8.3,Aprobado,A1
A00291,Sofia Garcia,25,F,C4,Noche,4,2,7,4.725,28.57,,Ausente,,Ausente,C4
A00292,Mateo Gonzalez,26,F,B1,Tarde,3,3,7,5.3999999999999995,42.86,6.8,Aprobado,6.8,Aprobado,B1
A00293,Nicolas Sanchez,17,F,B1,Tarde,7,5,7,6.828571428571428,71.43,5.6,Recupera,5.6,Recupera,B1
A00294,Ignacio Suarez,23,F,C2,Noche,3,2,7,4.433333333333334,28.57,,Ausente,,Ausente,C2
A00295,Lucas Medina,20,F,B1,Tarde,4,3,7,5.4,42.86,,Ausente,,Ausente,B1
A00296,Bautista Flores,17,F,B2,Tarde,5,3,7,6.6,42.86,5.7,Recupera,5.7,Recupera,B2
A00297,Felipe Castro,27,F,B2,Tarde,6,5,7,6.5,71.43,,Ausente,,Ausente,B2
A00298,Lautaro Ortiz,18,F,B1,Tarde,7,5,7,5.3428571428571425,71.43,6.6,Aprobado,6.6,Aprobado,B1
A00299,Paula Diaz,22,F,C1,Noche,4,3,7,5.3,42.86,4.1,Recupera,4.1,Recupera,C1
A00300,Antonella Castro,23,M,A3,Mañana,2,2,7,4.75,28.57,,Ausente,,Ausente,A3
A00301,Sofia Benitez,23,M,C1,Noche,7,4,7,6.428571428571429,57.14,8.5,Aprobado,8.5,Aprobado,C1
A00302,Nicolas Perez,22,M,A3,Mañana,6,5,7,6.6499999999999995,71.43,7.6,Aprobado,7.6,Aprobado,A3
A00303,Bautista Nuñez,19,F,A3,Mañana,0,0,7,,0.0,,Ausente,,Ausente,A3
A00304,Agustin Sanchez,25,F,C3,Noche,6,6,7,7.333333333333333,85.71,6.6,Aprobado,6.6,Aprobado,C3
A00305,Renata Sosa,17,M,C3,Noche,6,4,7,6.033333333333334,57.14,6.9,Aprobado,6.9,Aprobado,C3
A00306,Ignacio Gonzalez,19,M,A3,Mañana,5,4,7,5.74,57.14,,Ausente,,Ausente,A3
A00307,Renata Ortiz,24,F,B2,Tarde,5,5,7,5.5200000000000005,71.43,3.0,Desaprobado,3.0,Desaprobado,B2
A00308,Nicolas Sosa,20,F,B1,Tarde,7,5,7,6.485714285714286,71.43,6.7,Aprobado,6.7,Aprobado,B1
A00309,Felipe Lopez,17,F,A3,Mañana,6,3,7,6.3,42.86,,Ausente,,Ausente,A3
A00310,Guadalupe Ortiz,21,M,B2,Tarde,3,2,7,6.133333333333333,28.57,5.0,Recupera,5.0,Recupera,B2
A00311,Martina Martinez,22,F,B1,Tarde,1,0,7,5.1,0.0,,Ausente,,Ausente,B1
A00312,Mia Garcia,29,M,B1,Tarde,6,4,7,6.0,57.14,,Ausente,,Ausente,B1
A00313,Mia Torres,20,F,A1,Mañana,7,6,7,6.857142857142857,85.71,,Ausente,,Ausente,A1
A00314,Bautista Sosa,20,F,B1,Tarde,2,2,7,5.75,28.57,,Ausente,,Ausente,B1
A00315,Martina Sanchez,19,F,C2,Noche,1,0,7,5.1,0.0,,Ausente,,Ausente,C2
A00316,Martina Vega,25,M,C2,Noche,3,2,7,5.033333333333334,28.57,5.0,Recupera,5.0,Recupera,C2
A00317,Pilar Aguirre,22,M,C2,Noche,7,7,7,8.5,100.0,8.7,Aprobado,8.7,Aprobado,C2
A00318,Manuel Diaz,24,F,A2,Mañana,6,5,7,7.183333333333334,71.43,,Ausente,,Ausente,A2
A00319,Julieta Silva,19,F,C3,Noche,6,6,7,6.383333333333334,85.71,7.4,Aprobado,7.4,Aprobado,C3
A00320,Camila Cabrera,19,M,A1,Mañana,6,3,7,4.883333333333333,42.86,,Ausente,,Ausente,A1
A00321,Benjamin Aguirre,17,M,C3,Noche,6,5,7,5.033333333333334,71.43,,Ausente,,Ausente,C3
A00322,Federico Suarez,25,M,B2,Tarde,6,6,7,7.416666666666667,85.71,5.8,Recupera,5.8,Recupera,B2
A00323,Sofia Sosa,28,M,B2,Tarde,7,7,7,8.214285714285714,100.0,8.3,Aprobado,8.3,Aprobado,B2
A00324,Mora Lopez,18,M,B1,Tarde,7,7,7,8.328571428571427,100.0,10.0,Aprobado,10.0,Aprobado,B1
A00325,Catalina Suarez,23,M,C2,Noche,6,4,7,5.133333333333333,57.14,,Ausente,,Ausente,C2
A00326,Sofia Sosa,17,M,C2,Noche,7,7,7,6.214285714285714,100.0,7.0,Aprobado,7.0,Aprobado,C2
A00327,Lucas Herrera,32,M,B2,Tarde,7,7,7,8.542857142857143,100.0,7.1,Aprobado,7.1,Aprobado,B2
A00328,Bruno Lopez,22,F,B2,Tarde,5,3,7,5.36,42.86,,Ausente,,Ausente,B2
A00329,Manuel Martinez,29,M,A1,Mañana,4,2,7,5.824999999999999,28.57,4.9,Recupera,4.9,Recupera,A1
A00330,Julieta Acosta,17,F,A1,Mañana,0,0,7,,0.0,,Ausente,,Ausente,A1
A00331,Felipe Rojas,17,F,C3,Noche,0,0,7,,0.0,,Ausente,,Ausente,C3
A00332,Lucas Garcia,22,M,A3,Mañana,5,4,7,6.18,57.14,4.1,Recupera,4.1,Recupera,A3
A00333,Ignacio Sosa,17,F,A3,Mañana,2,2,7,5.85,28.57,,Ausente,,Ausente,A3
A00334,Mateo Flores,17,M,B2,Tarde,6,4,7,5.5,57.14,5.1,Recupera,5.1,Recupera,B2
A00335,Martina Medina,22,M,B1,Tarde,7,7,7,8.1,100.0,8.5,Aprobado,8.5,Aprobado,B1
A00336,Renata Castro,24,M,B1,Tarde,7,6,7,6.914285714285714,85.71,,Ausente,,Ausente,B1
A00337,Mateo Aguirre,21,F,C2,Noche,5,3,7,3.96,42.86,,Ausente,,Ausente,C2
A00338,Tomas Ortiz,17,M,B1,Tarde,7,6,7,8.028571428571428,85.71,8.7,Aprobado,8.7,Aprobado,B1
A00339,Renata Medina,23,F,A1,Mañana,6,4,7,7.516666666666667,57.14,7.9,Aprobado,7.9,Aprobado,A1
A00340,Olivia Alvarez,17,M,B1,Tarde,7,5,7,8.085714285714285,71.43,8.6,Aprobado,8.6,Aprobado,B1
A00341,Nicolas Gonzalez,25,M,C4,Noche,5,3,7,5.42,42.86,6.2,Aprobado,6.2,Aprobado,C4
A00342,Valentina Fernandez,17,M,B2,Tarde,2,1,7,5.25,14.29,,Ausente,,Ausente,B2
A00343,Lucia Ramirez,18,M,B2,Tarde,4,3,7,4.4,42.86,,Ausente,,Ausente,B2
A00344,Renata Ramirez,27,F,C2,Noche,4,1,7,5.2,14.29,5.6,Recupera,5.6,Recupera,C2
A00345,Lucia Castro,20,F,C4,Noche,1,1,7,5.8,14.29,,Ausente,,Ausente,C4
A00346,Nicolas Flores,22,M,A3,Mañana,4,3,7,5.7,42.86,,Ausente,,Ausente,A3
A00347,Santino Molina,19,M,C3,Noche,1,0,7,3.6,0.0,,Ausente,,Ausente,C3
A00348,Sofia Herrera,17,X,B1,Tarde,6,3,7,5.833333333333333,42.86,6.9,Aprobado,6.9,Aprobado,B1
A00349,Pilar Perez,29,F,B2,Tarde,3,1,7,4.3,14.29,,Ausente,,Ausente,B2
A00350,Pilar Gonzalez,21,M,C4,Noche,5,3,7,3.96,42.86,6.2,Aprobado,6.2,Aprobado,C4
A00351,Manuel Cabrera,17,M,C3,Noche,0,0,7,,0.0,,Ausente,,Ausente,C3
A00352,Julieta Acosta,22,M,B1,Tarde,7,6,7,6.142857142857143,85.71,6.6,Aprobado,6.6,Aprobado,B1
A00353,Lautaro Medina,18,F,B2,Tarde,7,7,7,8.342857142857143,100.0,8.5,Aprobado,8.5,Aprobado,B2
A00354,Felipe Garcia,19,F,B2,Tarde,5,4,7,4.7,57.14,,Ausente,,Ausente,B2
A00355,Maximo Nuñez,24,F,A3,Mañana,7,6,7,7.0857142857142845,85.71,8.9,Aprobado,8.9,Aprobado,A3
A00356,Maximo Perez,23,M,B1,Tarde,6,4,7,6.533333333333334,57.14,6.0,Aprobado,6.0,Aprobado,B1
A00357,Nicolas Romero,21,M,B2,Tarde,1,1,7,4.6,14.29,,Ausente,,Ausente,B2
A00358,Lucia Romero,20,F,B1,Tarde,7,7,7,9.014285714285714,100.0,9.8,Aprobado,9.8,Aprobado,B1
A00359,Lucas Garcia,28,M,B1,Tarde,6,3,7,5.5,42.86,6.4,Aprobado,6.4,Aprobado,B1
A00360,Catalina Cabrera,23,M,C2,Noche,6,5,7,4.533333333333333,71.43,,Ausente,,Ausente,C2
A00361,Agustin Martinez,23,F,B2,Tarde,6,6,7,8.016666666666667,85.71,,Ausente,,Ausente,B2
A00362,Mia Silva,19,F,B2,Tarde,3,2,7,5.533333333333334,28.57,8.6,Aprobado,8.6,Aprobado,B2
A00363,Lucas Molina,17,F,B1,Tarde,6,5,7,6.816666666666666,71.43,,Ausente,,Ausente,B1
A00364,Valentino Medina,22,M,B2,Tarde,6,4,7,4.933333333333334,57.14,4.3,Recupera,4.3,Recupera,B2
A00365,Felipe Martinez,20,F,B2,Tarde,1,1,7,3.8,14.29,,Ausente,,Ausente,B2
A00366,Isabella Torres,23,F,C4,Noche,0,0,7,,0.0,,Ausente,,Ausente,C4
A00367,Antonella Vega,26,M,C2,Noche,7,7,7,8.142857142857142,100.0,7.5,Aprobado,7.5,Aprobado,C2
A00368,Sofia Luna,27,F,C1,Noche,5,5,7,6.4,71.43,5.8,Recupera,5.8,Recupera,C1
A00369,Florencia Fernandez,24,M,A1,Mañana,7,6,7,8.0,85.71,9.1,Aprobado,9.1,Aprobado,A1
A00370,Bautista Torres,23,M,B1,Tarde,5,3,7,5.88,42.86,,Ausente,,Ausente,B1
A00371,Valentino Perez,24,M,A1,Mañana,6,5,7,5.566666666666666,71.43,,Ausente,,Ausente,A1
A00372,Santino Acosta,27,F,C2,Noche,6,6,7,6.533333333333334,85.71,,Ausente,,Ausente,C2
A00373,Joaquin Rodriguez,24,M,B2,Tarde,7,4,7,6.971428571428571,57.14,5.8,Recupera,5.8,Recupera,B2
A00374,Mora Ruiz,20,F,A2,Mañana,6,5,7,6.566666666666667,71.43,5.7,Recupera,5.7,Recupera,A2
A00375,Pilar Perez,25,M,A2,Mañana,6,4,7,6.933333333333334,57.14,8.7,Aprobado,8.7,Aprobado,A2
A00376,Joaquin Sanchez,21,M,C2,Noche,5,4,7,5.1,57.14,,Ausente,,Ausente,C2
A00377,Delfina Garcia,19,F,B2,Tarde,6,4,7,5.716666666666666,57.14,4.6,Recupera,4.6,Recupera,B2
A00378,Lautaro Ruiz,20,M,A2,Mañana,5,5,7,6.4,71.43,6.2,Aprobado,6.2,Aprobado,A2
A00379,Valentina Flores,27,M,C1,Noche,3,1,7,4.3,14.29,,Ausente,,Ausente,C1
A00380,Benjamin Herrera,27,F,B1,Tarde,7,7,7,7.085714285714286,100.0,7.5,Aprobado,7.5,Aprobado,B1
A00381,Sofia Torres,21,F,A3,Mañana,6,4,7,5.8,57.14,3.7,Desaprobado,3.7,Desaprobado,A3
A00382,Olivia Diaz,18,M,B1,Tarde,0,0,7,,0.0,,Ausente,,Ausente,B1
A00383,Felipe Rojas,31,M,A1,Mañana,7,7,7,7.971428571428572,100.0,8.5,Aprobado,8.5,Aprobado,A1
A00384,Mia Acosta,27,F,B1,Tarde,6,5,7,6.733333333333333,71.43,8.7,Aprobado,8.7,Aprobado,B1
A00385,Antonella Ruiz,25,F,B2,Tarde,7,6,7,8.542857142857143,85.71,8.6,Aprobado,8.6,Aprobado,B2
A00386,Felipe Vega,19,M,B1,Tarde,0,0,7,,0.0,,Ausente,,Ausente,B1
A00387,Manuel Ramirez,17,F,A3,Mañana,6,3,7,5.8500000000000005,42.86,4.4,Recupera,4.4,Recupera,A3
A00388,Delfina Lopez,26,M,C3,Noche,7,7,7,8.22857142857143,100.0,8.5,Aprobado,8.5,Aprobado,C3
A00389,Manuel Diaz,17,F,A3,Mañana,6,5,7,7.733333333333333,71.43,8.0,Aprobado,8.0,Aprobado,A3
A00390,Julieta Garcia,27,M,A3,Mañana,7,7,7,9.142857142857142,100.0,9.0,Aprobado,9.0,Aprobado,A3
A00391,Pilar Torres,21,F,B1,Tarde,3,1,7,4.133333333333333,14.29,,Ausente,,Ausente,B1
A00392,Tomas Rojas,17,F,C3,Noche,6,6,7,6.916666666666667,85.71,5.6,Recupera,5.6,Recupera,C3
A00393,Delfina Silva,24,M,B2,Tarde,7,4,7,6.314285714285715,57.14,5.6,Recupera,5.6,Recupera,B2
A00394,Valentino Suarez,18,F,C2,Noche,6,5,7,5.666666666666667,71.43,6.1,Aprobado,6.1,Aprobado,C2
A00395,Ignacio Castro,17,F,A2,Mañana,7,5,7,8.585714285714285,71.43,9.1,Aprobado,9.1,Aprobado,A2
A00396,Felipe Suarez,31,F,A1,Mañana,3,3,7,4.133333333333334,42.86,,Ausente,,Ausente,A1
A00397,Camila Benitez,17,F,C3,Noche,3,1,7,3.8000000000000003,14.29,,Ausente,,Ausente,C3
A00398,Antonella Castro,31,F,B1,Tarde,0,0,7,,0.0,,Ausente,,Ausente,B1
A00399,Diego Silva,24,F,C1,Noche,7,7,7,8.4,100.0,5.5,Recupera,5.5,Recupera,C1
A00400,Martina Silva,24,F,C1,Noche,6,5,7,6.3,71.43,8.4,Aprobado,8.4,Aprobado,C1
A00401,Diego Medina,26,M,A1,Mañana,7,5,7,8.585714285714285,71.43,9.9,Aprobado,9.9,Aprobado,A1
A00402,Mora Acosta,20,M,C1,Noche,7,7,7,6.571428571428571,100.0,4.5,Recupera,4.5,Recupera,C1
A00403,Bautista Luna,23,F,A2,Mañana,7,6,7,8.614285714285714,85.71,8.4,Aprobado,8.4,Aprobado,A2
A00404,Victoria Torres,23,F,B1,Tarde,3,3,7,6.066666666666666,42.86,,Ausente,,Ausente,B1
A00405,Camila Garcia,17,M,B1,Tarde,7,6,7,6.971428571428571,85.71,7.2,Aprobado,7.2,Aprobado,B1
A00406,Diego Fernandez,17,M,C3,Noche,6,4,7,5.95,57.14,5.7,Recupera,5.7,Recupera,C3
A00407,Mia Fernandez,28,M,A1,Mañana,4,3,7,4.925,42.86,6.6,Aprobado,6.6,Aprobado,A1
A00408,Benjamin Silva,25,M,B2,Tarde,6,6,7,8.6,85.71,9.3,Aprobado,9.3,Aprobado,B2
A00409,Pilar Torres,23,M,A1,Mañana,7,7,7,8.742857142857144,100.0,7.2,Aprobado,7.2,Aprobado,A1
A00410,Victoria Molina,17,M,A3,Mañana,6,3,7,6.75,42.86,8.0,Aprobado,8.0,Aprobado,A3
A00411,Martina Rodriguez,18,M,C1,Noche,3,1,7,3.9,14.29,7.1,Aprobado,7.1,Aprobado,C1
A00412,Mora Aguirre,25,M,A1,Mañana,6,4,7,4.716666666666667,57.14,,Ausente,,Ausente,A1
A00413,Mora Diaz,17,F,B1,Tarde,6,4,7,6.783333333333334,57.14,7.2,Aprobado,7.2,Aprobado,B1
A00414,Benjamin Perez,22,X,C4,Noche,7,7,7,8.571428571428571,100.0,7.5,Aprobado,7.5,Aprobado,C4
A00415,Antonella Ruiz,23,M,B2,Tarde,6,4,7,5.683333333333334,57.14,,Ausente,,Ausente,B2
A00416,Antonella Medina,26,F,B2,Tarde,7,5,7,8.357142857142858,71.43,9.2,Aprobado,9.2,Aprobado,B2
A00417,Santino Ramirez,28,F,B2,Tarde,7,7,7,5.814285714285715,100.0,8.2,Aprobado,8.2,Aprobado,B2
A00418,Florencia Fernandez,18,M,B2,Tarde,6,5,7,6.583333333333333,71.43,6.3,Aprobado,6.3,Aprobado,B2
A00419,Julieta Martinez,25,F,C4,Noche,5,3,7,4.26,42.86,,Ausente,,Ausente,C4
A00420,Valentina Vega,19,M,C1,Noche,5,4,7,4.5600000000000005,57.14,4.9,Recupera,4.9,Recupera,C1
A00421,Agustin Luna,22,M,A2,Mañana,1,1,7,5.6,14.29,,Ausente,,Ausente,A2
A00422,Agustin Ruiz,25,M,A2,Mañana,4,4,7,6.7,57.14,,Ausente,,Ausente,A2
A00423,Sofia Romero,21,M,B1,Tarde,6,5,7,6.8999999999999995,71.43,,Ausente,,Ausente,B1
A00424,Olivia Aguirre,22,F,C4,Noche,5,1,7,4.4399999999999995,14.29,6.6,Aprobado,6.6,Aprobado,C4
A00425,Bautista Castro,28,F,C3,Noche,6,4,7,7.5,57.14,7.3,Aprobado,7.3,Aprobado,C3
A00426,Manuel Fernandez,24,F,C2,Noche,7,6,7,7.085714285714286,85.71,5.6,Recupera,5.6,Recupera,C2
A00427,Mora Nuñez,23,M,B2,Tarde,7,5,7,6.442857142857143,71.43,,Ausente,,Ausente,B2
A00428,Joaquin Torres,34,M,B1,Tarde,7,6,7,6.442857142857143,85.71,7.1,Aprobado,7.1,Aprobado,B1
A00429,Thiago Perez,22,F,C4,Noche,7,7,7,8.742857142857144,100.0,9.5,Aprobado,9.5,Aprobado,C4
A00430,Felipe Sanchez,25,F,C4,Noche,6,5,7,6.083333333333333,71.43,,Ausente,,Ausente,C4
A00431,Diego Gonzalez,34,F,A2,Mañana,7,5,7,6.714285714285714,71.43,6.6,Aprobado,6.6,Aprobado,A2
A00432,Florencia Lopez,17,F,B1,Tarde,7,6,7,7.085714285714286,85.71,7.8,Aprobado,7.8,Aprobado,B1
A00433,Agustin Lopez,17,F,B2,Tarde,5,3,7,4.9,42.86,,Ausente,,Ausente,B2
A00434,Mia Cabrera,17,F,A1,Mañana,7,7,7,8.5,100.0,9.0,Aprobado,9.0,Aprobado,A1
A00435,Bruno Flores,19,M,A1,Mañana,5,3,7,4.0200000000000005,42.86,4.3,Recupera,4.3,Recupera,A1
A00436,Lucas Silva,31,M,B1,Tarde,1,0,7,6.7,0.0,,Ausente,,Ausente,B1
A00437,Mia Gonzalez,29,F,C3,Noche,3,2,7,4.966666666666667,28.57,6.5,Aprobado,6.5,Aprobado,C3
A00438,Olivia Nuñez,20,F,A3,Mañana,7,7,7,8.414285714285715,100.0,8.3,Aprobado,8.3,Aprobado,A3
A00439,Olivia Torres,17,M,C2,Noche,7,6,7,7.871428571428572,85.71,6.1,Aprobado,6.1,Aprobado,C2
A00440,Victoria Herrera,25,M,A2,Mañana,5,3,7,5.220000000000001,42.86,,Ausente,,Ausente,A2
A00441,Mia Acosta,23,M,B1,Tarde,5,3,7,5.5,42.86,3.1,Desaprobado,3.1,Desaprobado,B1
A00442,Mateo Fernandez,24,F,C3,Noche,7,6,7,6.871428571428572,85.71,3.6,Desaprobado,3.6,Desaprobado,C3
A00443,Florencia Gonzalez,23,F,C4,Noche,6,5,7,7.05,71.43,8.0,Aprobado,8.0,Aprobado,C4
A00444,Bautista Benitez,17,M,B1,Tarde,5,3,7,7.18,42.86,,Ausente,,Ausente,B1
A00445,Paula Alvarez,22,M,B1,Tarde,5,5,7,7.56,71.43,6.5,Aprobado,6.5,Aprobado,B1
A00446,Federico Gonzalez,22,M,A1,Mañana,7,7,7,6.485714285714286,100.0,8.1,Aprobado,8.1,Aprobado,A1
A00447,Felipe Luna,21,F,C4,Noche,7,5,7,3.4857142857142853,71.43,6.4,Aprobado,6.4,Aprobado,C4
A00448,Victoria Castro,17,M,C3,Noche,7,7,7,6.371428571428572,100.0,5.9,Recupera,5.9,Recupera,C3
A00449,Pilar Martinez,18,M,A3,Mañana,6,5,7,6.8,71.43,5.7,Recupera,5.7,Recupera,A3
A00450,Gabriel Nuñez,27,F,A2,Mañana,7,5,7,6.8428571428571425,71.43,,Ausente,,Ausente,A2
A00451,Victoria Sanchez,27,F,A2,Mañana,7,5,7,7.142857142857143,71.43,5.4,Recupera,5.4,Recupera,A2
A00452,Guadalupe Flores,29,M,A3,Mañana,6,3,7,5.516666666666667,42.86,6.2,Aprobado,6.2,Aprobado,A3
A00453,Catalina Nuñez,24,F,C1,Noche,5,2,7,4.88,28.57,,Ausente,,Ausente,C1
A00454,Bautista Suarez,22,F,A2,Mañana,5,4,7,4.5,57.14,5.6,Recupera,5.6,Recupera,A2
A00455,Gabriel Suarez,31,M,B1,Tarde,7,5,7,8.314285714285715,71.43,8.5,Aprobado,8.5,Aprobado,B1
A00456,Lucas Vega,17,M,A2,Mañana,1,1,7,7.5,14.29,,Ausente,,Ausente,A2
A00457,Antonella Ruiz,20,X,B2,Tarde,5,3,7,6.32,42.86,6.4,Aprobado,6.4,Aprobado,B2
